wing_index,group,landmark,error_px
31,<18,19,253.92723083496094
34,<18,1,1.011641025543213
34,<18,2,71.3729476928711
34,<18,3,0.4034487307071686
34,<18,4,1.8125214576721191
34,<18,5,1.7451967000961304
34,<18,6,34.0903205871582
34,<18,7,86.5384292602539
34,<18,8,52.219417572021484
34,<18,9,54.68036651611328
34,<18,10,89.19430541992188
34,<18,11,44.883567810058594
34,<18,12,38.209686279296875
34,<18,13,2.6236610412597656
34,<18,14,47.48539733886719
34,<18,15,0.3932376205921173
34,<18,16,2.4621450901031494
34,<18,17,31.61713218688965
34,<18,18,130.11256408691406
34,<18,19,178.98287963867188
36,<18,1,0.10645952075719833
36,<18,2,1.0935415029525757
36,<18,3,43.12133026123047
36,<18,4,85.90523529052734
36,<18,5,41.655670166015625
36,<18,6,171.03622436523438
36,<18,7,113.8306884765625
36,<18,8,54.092132568359375
36,<18,9,104.93878936767578
36,<18,10,2.3179428577423096
36,<18,11,2.259101152420044
36,<18,12,0.6085627675056458
36,<18,13,10.00034236907959
36,<18,14,60.93258285522461
36,<18,15,46.179534912109375
36,<18,16,1.4025284051895142
36,<18,17,2.354999542236328
36,<18,18,0.8475755453109741
36,<18,19,4.9142537117004395
37,<18,1,19.479778289794922
37,<18,2,92.9676284790039
37,<18,3,152.2335968017578
37,<18,4,132.01773071289062
37,<18,5,2.1420722007751465
37,<18,6,71.54656219482422
37,<18,7,58.3995246887207
37,<18,8,58.97495651245117
37,<18,9,0.31946054100990295
37,<18,10,1.363803744316101
37,<18,11,1.0803579092025757
37,<18,12,1.58506441116333
37,<18,13,40.620872497558594
37,<18,14,60.162811279296875
37,<18,15,91.93111419677734
37,<18,16,30.382225036621094
37,<18,17,30.617189407348633
37,<18,18,158.96768188476562
37,<18,19,142.6780242919922
43,<18,1,0.7012750506401062
43,<18,2,0.6694958806037903
43,<18,3,0.09760481119155884
43,<18,4,1.3515785932540894
43,<18,5,1.6226592063903809
43,<18,6,0.5792338252067566
43,<18,7,0.5295212864875793
43,<18,8,0.6665534973144531
43,<18,9,1.4662202596664429
43,<18,10,0.9029836058616638
43,<18,11,2.326378583908081
43,<18,12,1.4786229133605957
43,<18,13,1.72067129611969
43,<18,14,1.0104650259017944
43,<18,15,0.28187984228134155
43,<18,16,1.2023754119873047
43,<18,17,1.5452762842178345
43,<18,18,2.1603641510009766
43,<18,19,1.6339391469955444
44,<18,1,2.3523037433624268
44,<18,2,0.4719184935092926
44,<18,3,105.58598327636719
44,<18,4,46.4433708190918
44,<18,5,2.326220750808716
44,<18,6,69.68030548095703
44,<18,7,2.2495248317718506
44,<18,8,34.0484504699707
44,<18,9,48.9873161315918
44,<18,10,0.7518126368522644
44,<18,11,50.86438751220703
44,<18,12,38.6098747253418
44,<18,13,33.85057830810547
44,<18,14,28.691442489624023
44,<18,15,24.357284545898438
44,<18,16,26.24876594543457
44,<18,17,1.6091243028640747
44,<18,18,0.9646865725517273
44,<18,19,2.196516752243042
47,<18,1,1.9168130159378052
47,<18,2,2.3112475872039795
47,<18,3,6.28909969329834
47,<18,4,4.339127540588379
47,<18,5,0.8028838038444519
47,<18,6,0.19304926693439484
47,<18,7,5.625256538391113
47,<18,8,1.9032994508743286
47,<18,9,1.8362717628479004
47,<18,10,3.2100093364715576
47,<18,11,32.835205078125
47,<18,12,40.639312744140625
47,<18,13,40.35838317871094
